Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
06-06-14,19711,vrijdag,16,906,0,6812,18753,2511.9,5351,,,,,
07-06-14,24,zaterdag,21,486,0,2521,12316,1881.75,3503,9605,3472,,,
08-06-14,34,zondag,20,516,54,4176,14766,2497,4622,6089,2413,,,1e Pinksterdag
09-06-14,19946,maandag,22,390,168,7219,24227,3234.01,6213,259865,79444,,,2e Pinksterdag
10-06-14,17286,dinsdag,20,462,198,11526,45232,6241.8,10826,1032122,254458,Vaderdag,,
11-06-14,20073,woensdag,18,768,0,13693,39245,7538.18,12431,3163,1126,Vaderdag,,
12-06-14,25443,donderdag,17,792,0,17389,53213,8417.88,13079,1354337,319865,Vaderdag,,
13-06-14,41454,vrijdag,18,816,0,14240,41153,7140.41,10683,990740,122462,Vaderdag,,
14-06-14,8035,zaterdag,16,342,0,7233,39097,7873.02,10130,1229777,279359,Vaderdag,,
15-06-14,2896,zondag,16,594,0,7160,26310,4671.01,7723,3948,1418,,Vaderdag,
16-06-14,31584,maandag,15,96,36,10339,28864,3734.77,8104,5572,1828,,,
17-06-14,16967,dinsdag,15,282,0,9566,26554,3572.95,7515,7230,2230,,,
18-06-14,15470,woensdag,15,312,126,8033,22569,2918.72,6447,,,,,
19-06-14,17711,donderdag,14,30,54,10340,33234,3384.9,7575,1277421,298531,,,
20-06-14,21406,vrijdag,14,180,30,8356,24044,2951.3,6632,13814,3712,,,
21-06-14,,zaterdag,16,516,0,3697,15221,2023.01,4090,9378,2477,,,
22-06-14,2304,zondag,15,840,0,6349,19033,2684.73,5674,5537,1902,,,
23-06-14,26940,maandag,15,756,0,9036,24293,3244.35,7051,2606,892,,,
24-06-14,16544,dinsdag,16,384,18,10166,28753,3876.27,7989,246935,54760,,,
25-06-14,18244,woensdag,15,336,0,10744,30585,3825.39,8256,238585,52042,,,
26-06-14,18481,donderdag,17,594,0,9347,27632,3341.1,7025,237953,51368,,,
27-06-14,20457,vrijdag,18,108,30,8365,24623,2899.51,6209,239769,52186,,,
28-06-14,,zaterdag,17,108,0,4179,17127,2046.88,4225,236972,52752,,,
29-06-14,2321,zondag,16,546,36,6112,18209,2276.74,4752,2787,1217,,,
30-06-14,28465,maandag,14,372,48,11516,31314,3919.38,8144,103493,30100,,,
01-07-14,18522,dinsdag,14,648,0,11940,36837,3578.07,7377,1084636,271292,,,
02-07-14,19218,woensdag,15,672,0,10806,30002,3337.38,7027,14339,4699,,,
03-07-14,18175,donderdag,18,660,0,9363,26767,3124.64,6400,3854,1346,,,
04-07-14,20038,vrijdag,22,462,0,8383,23739,2540.88,5470,3527,1490,,,
05-07-14,14,zaterdag,20,132,186,4500,17704,2042.11,4251,3266,1471,,,
06-07-14,2431,zondag,19,144,120,6893,20365,2655.85,5347,3602,1448,,,
07-07-14,30438,maandag,18,462,0,10303,27082,3691.49,7438,3663,1453,,,
08-07-14,18096,dinsdag,15,0,756,10437,29731,4125.51,8217,169486,46966,,,
09-07-14,19210,woensdag,16,0,468,10009,31685,3453.31,7034,962540,214632,,,
10-07-14,17005,donderdag,22,636,24,8047,26421,2928.46,5904,4762,1687,,,
11-07-14,19222,vrijdag,20,354,186,7730,22431,2656.84,5574,4339,1724,,,
12-07-14,,zaterdag,19,282,54,3875,14734,1668.61,3621,2872,1156,,,
13-07-14,2168,zondag,19,192,12,6845,19679,2559.61,5312,2732,1128,,,
14-07-14,30493,maandag,18,378,42,11152,32728,3379.66,6832,1222094,265302,,,
15-07-14,17412,dinsdag,17,198,0,8630,24189,3524.3,6626,4518,1548,,,
16-07-14,15635,woensdag,20,714,0,7736,20628,2863.32,5676,3060,1104,,,
17-07-14,15241,donderdag,22,522,0,6986,18301,2471.13,5045,620,278,,,
18-07-14,17476,vrijdag,25,786,0,6087,16107,2035.19,4386,3190,1232,,,
19-07-14,,zaterdag,26,486,0,3003,10888,1400.27,2880,1879,813,,,
20-07-14,1808,zondag,22,180,60,5600,15797,2278.31,4462,3254,1173,,,
21-07-14,25249,maandag,20,0,282,8986,23177,3775.66,7096,3088,1133,,,
22-07-14,14605,dinsdag,23,732,0,7510,19778,2950.09,5868,,,,,
23-07-14,13870,woensdag,23,798,0,7357,18746,2802.61,5635,,,,,
24-07-14,16077,donderdag,22,714,0,8175,25057,3113.11,5795,684830,172651,,,
25-07-14,18369,vrijdag,19,54,48,7285,20950,2943.16,5485,3853,1522,,,
26-07-14,,zaterdag,21,336,84,3628,13385,2131.34,3614,2629,1068,,,
27-07-14,2032,zondag,21,324,18,5311,15685,2616.72,4556,2535,1085,,,
